Times,Average Energy (W)
1,89.85333333333332
2,96.23333333333333
3,89.21166666666666
4,88.47833333333332
5,94.07
6,89.82466666666666
7,96.115
8,85.97666666666667
9,96.62833333333333
10,90.43166666666666
11,92.452
12,95.04066666666667
13,85.15166666666667
14,94.26333333333334
15,91.51733333333333
16,94.43833333333333
17,91.98166666666665
18,91.52333333333333
19,91.67
20,95.59333333333333
21,95.94166666666666
22,86.94
23,94.73166666666665
24,91.3035
25,90.855
26,96.18633333333334
27,89.26
28,95.89666666666668
29,91.60666666666665
30,93.385
