Times,Average Energy (W)
1,59.96
2,47.67666666666666
3,62.58166666666667
4,52.65783333333333
5,59.641333333333336
6,44.486666666666665
7,62.985
8,51.251666666666665
9,55.505
10,56.11
11,50.599333333333334
12,60.583333333333336
13,47.309999999999995
14,64.15833333333333
15,44.96333333333334
16,54.69833333333334
17,56.0
18,47.915
19,57.77833333333333
20,42.32333333333334
21,62.361666666666665
22,52.736666666666665
23,56.165
24,50.949666666666666
25,54.147666666666666
26,66.71666666666667
27,49.52
28,58.155
29,53.13166666666667
30,61.65033333333334
