Times,CPU Temperature (°C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1,45,1.55,115,1.78,51,50,110,55,56.78
2,45,1.55,115,1.78,51,96,110,105.6,107.38
3,45,1.55,115,1.78,49,3,110,3.3,5.08
4,45,1.55,115,1.78,52,94,110,103.4,105.18
5,45,1.55,115,1.78,52,92,110,101.2,102.98
6,45,1.55,115,1.78,52,94,110,103.4,105.18
7,45,1.55,115,1.78,52,94,110,103.4,105.18
8,45,1.55,115,1.78,53,61,110,67.1,68.88
9,45,1.55,115,1.78,53,97,110,106.7,108.48
10,45,1.55,115,1.78,53,92,110,101.2,102.98
11,45,1.55,115,1.78,51,8,110,8.8,10.58
12,45,1.55,115,1.78,53,95,110,104.5,106.28
13,45,1.55,115,1.78,53,93,110,102.3,104.08
14,45,1.55,115,1.78,55,94,110,103.4,105.18
15,45,1.55,115,1.78,53,95,110,104.5,106.28
16,45,1.55,115,1.78,54,97,110,106.7,108.48
17,45,1.55,115,1.78,54,97,110,106.7,108.48
18,45,1.55,115,1.78,55,92,110,101.2,102.98
19,45,1.55,115,1.78,52,94,110,103.4,105.18
20,45,1.55,115,1.78,59,4,110,4.4,6.18
21,45,1.55,115,1.78,59,94,110,103.4,105.18
22,45,1.55,115,1.78,60,93,110,102.3,104.08
23,45,1.55,115,1.78,61,94,110,103.4,105.18
24,45,1.55,115,1.78,61,93,110,102.3,104.08
25,45,1.55,115,1.78,57,91,110,100.1,101.88
26,45,1.55,115,1.78,58,93,110,102.3,104.08
27,45,1.55,115,1.78,56,94,110,103.4,105.18
28,45,1.55,115,1.78,56,97,110,106.7,108.48
29,45,1.55,115,1.78,56,97,110,106.7,108.48
30,45,1.55,115,1.78,56,96,110,105.6,107.38
31,45,1.55,115,1.78,57,94,110,103.4,105.18
32,45,1.55,115,1.78,57,94,110,103.4,105.18
33,45,1.55,115,1.78,57,94,110,103.4,105.18
34,45,1.55,115,1.78,57,96,110,105.6,107.38
35,45,1.55,115,1.78,57,96,110,105.6,107.38
36,45,1.55,115,1.78,57,94,110,103.4,105.18
37,45,1.55,115,1.78,57,94,110,103.4,105.18
38,45,1.55,115,1.78,58,93,110,102.3,104.08
39,45,1.55,115,1.78,57,94,110,103.4,105.18
40,45,1.55,115,1.78,57,97,110,106.7,108.48
41,45,1.55,115,1.78,58,97,110,106.7,108.48
42,45,1.55,115,1.78,57,94,110,103.4,105.18
43,45,1.55,115,1.78,54,0,110,0,1.78
44,45,1.55,115,1.78,54,0,110,0,1.78
45,45,1.55,115,1.78,54,0,110,0,1.78
46,45,1.55,115,1.78,56,96,110,105.6,107.38
47,45,1.55,115,1.78,54,6,110,6.6,8.38
48,45,1.55,115,1.78,57,97,110,106.7,108.48
49,45,1.55,115,1.78,58,92,110,101.2,102.98
50,45,1.55,115,1.78,57,60,110,66,67.78
51,45,1.55,115,1.78,56,71,110,78.1,79.88
52,45,1.55,115,1.78,54,4,110,4.4,6.18
53,45,1.55,115,1.78,57,92,110,101.2,102.98
54,45,1.55,115,1.78,57,97,110,106.7,108.48
55,45,1.55,115,1.78,56,93,110,102.3,104.08
56,45,1.55,115,1.78,58,93,110,102.3,104.08
57,45,1.55,115,1.78,58,92,110,101.2,102.98
58,45,1.55,115,1.78,57,97,110,106.7,108.48
59,45,1.55,115,1.78,58,96,110,105.6,107.38
60,45,1.55,115,1.78,58,97,110,106.7,108.48
61,45,1.55,115,1.78,57,92,110,101.2,102.98
62,45,1.55,115,1.78,58,94,110,103.4,105.18
63,45,1.55,115,1.78,62,94,110,103.4,105.18
64,45,1.55,115,1.78,63,93,110,102.3,104.08
65,45,1.55,115,1.78,63,93,110,102.3,104.08
66,45,1.55,115,1.78,64,94,110,103.4,105.18
67,45,1.55,115,1.78,64,94,110,103.4,105.18
68,45,1.55,115,1.78,65,93,110,102.3,104.08
69,45,1.55,115,1.78,60,96,110,105.6,107.38
70,45,1.55,115,1.78,60,96,110,105.6,107.38
71,45,1.55,115,1.78,60,94,110,103.4,105.18
72,45,1.55,115,1.78,61,94,110,103.4,105.18
73,45,1.55,115,1.78,60,94,110,103.4,105.18
74,45,1.55,115,1.78,59,97,110,106.7,108.48
75,45,1.55,115,1.78,60,94,110,103.4,105.18
76,45,1.55,115,1.78,60,94,110,103.4,105.18
77,45,1.55,115,1.78,61,94,110,103.4,105.18
78,45,1.55,115,1.78,61,94,110,103.4,105.18
79,45,1.55,115,1.78,60,96,110,105.6,107.38
80,45,1.55,115,1.78,60,96,110,105.6,107.38
81,45,1.55,115,1.78,61,94,110,103.4,105.18
82,45,1.55,115,1.78,59,94,110,103.4,105.18
83,45,1.55,115,1.78,60,97,110,106.7,108.48
84,45,1.55,115,1.78,61,97,110,106.7,108.48
85,45,1.55,115,1.78,61,94,110,103.4,105.18
86,45,1.55,115,1.78,61,95,110,104.5,106.28
87,45,1.55,115,1.78,57,0,110,0,1.78
88,45,1.55,115,1.78,57,1,110,1.1,2.88
89,45,1.55,115,1.78,60,65,110,71.5,73.28
90,45,1.55,115,1.78,60,94,110,103.4,105.18
91,45,1.55,115,1.78,59,45,110,49.5,51.28
92,45,1.55,115,1.78,60,95,110,104.5,106.28
93,45,1.55,115,1.78,60,94,110,103.4,105.18
94,45,1.55,115,1.78,58,85,110,93.5,95.28
95,45,1.55,115,1.78,60,97,110,106.7,108.48
96,45,1.55,115,1.78,61,92,110,101.2,102.98
97,45,1.55,115,1.78,60,95,110,104.5,106.28
98,45,1.55,115,1.78,61,94,110,103.4,105.18
99,45,1.55,115,1.78,60,65,110,71.5,73.28
100,45,1.55,115,1.78,60,96,110,105.6,107.38
101,45,1.55,115,1.78,57,10,110,11,12.78
102,45,1.55,115,1.78,58,84,110,92.4,94.18
103,45,1.55,115,1.78,59,62,110,68.2,69.98
104,45,1.55,115,1.78,60,47,110,51.7,53.48
105,45,1.55,115,1.78,60,94,110,103.4,105.18
106,45,1.55,115,1.78,62,54,110,59.4,61.18
107,45,1.55,115,1.78,65,93,110,102.3,104.08
108,45,1.55,115,1.78,65,94,110,103.4,105.18
109,45,1.55,115,1.78,66,94,110,103.4,105.18
110,45,1.55,115,1.78,62,97,110,106.7,108.48
111,45,1.55,115,1.78,61,93,110,102.3,104.08
112,45,1.55,115,1.78,61,93,110,102.3,104.08
113,45,1.55,115,1.78,61,96,110,105.6,107.38
114,45,1.55,115,1.78,61,94,110,103.4,105.18
115,45,1.55,115,1.78,61,97,110,106.7,108.48
116,45,1.55,115,1.78,61,94,110,103.4,105.18
117,45,1.55,115,1.78,61,94,110,103.4,105.18
118,45,1.55,115,1.78,61,94,110,103.4,105.18
119,45,1.55,115,1.78,61,96,110,105.6,107.38
120,45,1.55,115,1.78,61,97,110,106.7,108.48
121,45,1.55,115,1.78,62,94,110,103.4,105.18
122,45,1.55,115,1.78,61,94,110,103.4,105.18
123,45,1.55,115,1.78,61,93,110,102.3,104.08
124,45,1.55,115,1.78,61,94,110,103.4,105.18
125,45,1.55,115,1.78,62,96,110,105.6,107.38
126,45,1.55,115,1.78,61,97,110,106.7,108.48
127,45,1.55,115,1.78,62,94,110,103.4,105.18
128,45,1.55,115,1.78,58,0,110,0,1.78
129,45,1.55,115,1.78,58,16,110,17.6,19.38
130,45,1.55,115,1.78,61,45,110,49.5,51.28
131,45,1.55,115,1.78,61,96,110,105.6,107.38
132,45,1.55,115,1.78,60,3,110,3.3,5.08
133,45,1.55,115,1.78,62,95,110,104.5,106.28
134,45,1.55,115,1.78,61,92,110,101.2,102.98
135,45,1.55,115,1.78,60,61,110,67.1,68.88
136,45,1.55,115,1.78,61,93,110,102.3,104.08
137,45,1.55,115,1.78,61,95,110,104.5,106.28
138,45,1.55,115,1.78,62,94,110,103.4,105.18
139,45,1.55,115,1.78,61,97,110,106.7,108.48
140,45,1.55,115,1.78,62,47,110,51.7,53.48
141,45,1.55,115,1.78,62,94,110,103.4,105.18
142,45,1.55,115,1.78,59,30,110,33,34.78
143,45,1.55,115,1.78,59,96,110,105.6,107.38
144,45,1.55,115,1.78,59,47,110,51.7,53.48
145,45,1.55,115,1.78,59,72,110,79.2,80.98
146,45,1.55,115,1.78,61,92,110,101.2,102.98
147,45,1.55,115,1.78,59,4,110,4.4,6.18
148,45,1.55,115,1.78,66,93,110,102.3,104.08
149,45,1.55,115,1.78,66,93,110,102.3,104.08
150,45,1.55,115,1.78,67,94,110,103.4,105.18
151,45,1.55,115,1.78,67,93,110,102.3,104.08
152,45,1.55,115,1.78,68,93,110,102.3,104.08
153,45,1.55,115,1.78,68,93,110,102.3,104.08
154,45,1.55,115,1.78,64,93,110,102.3,104.08
155,45,1.55,115,1.78,64,96,110,105.6,107.38
156,45,1.55,115,1.78,63,94,110,103.4,105.18
157,45,1.55,115,1.78,63,96,110,105.6,107.38
158,45,1.55,115,1.78,63,94,110,103.4,105.18
159,45,1.55,115,1.78,63,94,110,103.4,105.18
160,45,1.55,115,1.78,63,94,110,103.4,105.18
161,45,1.55,115,1.78,64,97,110,106.7,108.48
162,45,1.55,115,1.78,63,93,110,102.3,104.08
163,45,1.55,115,1.78,62,94,110,103.4,105.18
164,45,1.55,115,1.78,64,94,110,103.4,105.18
165,45,1.55,115,1.78,62,93,110,102.3,104.08
166,45,1.55,115,1.78,63,94,110,103.4,105.18
167,45,1.55,115,1.78,62,97,110,106.7,108.48
168,45,1.55,115,1.78,64,94,110,103.4,105.18
169,45,1.55,115,1.78,63,94,110,103.4,105.18
170,45,1.55,115,1.78,63,94,110,103.4,105.18
171,45,1.55,115,1.78,62,97,110,106.7,108.48
172,45,1.55,115,1.78,60,0,110,0,1.78
173,45,1.55,115,1.78,59,7,110,7.7,9.48
174,45,1.55,115,1.78,61,56,110,61.6,63.38
175,45,1.55,115,1.78,62,94,110,103.4,105.18
176,45,1.55,115,1.78,63,60,110,66,67.78
177,45,1.55,115,1.78,62,95,110,104.5,106.28
178,45,1.55,115,1.78,63,97,110,106.7,108.48
179,45,1.55,115,1.78,60,75,110,82.5,84.28
180,45,1.55,115,1.78,62,93,110,102.3,104.08
181,45,1.55,115,1.78,62,92,110,101.2,102.98
182,45,1.55,115,1.78,62,92,110,101.2,102.98
183,45,1.55,115,1.78,63,94,110,103.4,105.18
184,45,1.55,115,1.78,63,59,110,64.9,66.68
185,45,1.55,115,1.78,63,95,110,104.5,106.28
186,45,1.55,115,1.78,60,19,110,20.9,22.68
187,45,1.55,115,1.78,60,96,110,105.6,107.38
188,45,1.55,115,1.78,62,40,110,44,45.78
189,45,1.55,115,1.78,63,66,110,72.6,74.38
190,45,1.55,115,1.78,63,92,110,101.2,102.98
191,45,1.55,115,1.78,64,7,110,7.7,9.48
192,45,1.55,115,1.78,67,94,110,103.4,105.18
193,45,1.55,115,1.78,68,94,110,103.4,105.18
194,45,1.55,115,1.78,68,94,110,103.4,105.18
195,45,1.55,115,1.78,68,93,110,102.3,104.08
196,45,1.55,115,1.78,64,93,110,102.3,104.08
197,45,1.55,115,1.78,65,94,110,103.4,105.18
198,45,1.55,115,1.78,64,94,110,103.4,105.18
199,45,1.55,115,1.78,64,97,110,106.7,108.48
200,45,1.55,115,1.78,64,95,110,104.5,106.28
201,45,1.55,115,1.78,64,94,110,103.4,105.18
202,45,1.55,115,1.78,64,94,110,103.4,105.18
203,45,1.55,115,1.78,64,94,110,103.4,105.18
204,45,1.55,115,1.78,64,94,110,103.4,105.18
205,45,1.55,115,1.78,64,96,110,105.6,107.38
206,45,1.55,115,1.78,63,94,110,103.4,105.18
207,45,1.55,115,1.78,64,94,110,103.4,105.18
208,45,1.55,115,1.78,63,94,110,103.4,105.18
209,45,1.55,115,1.78,64,97,110,106.7,108.48
210,45,1.55,115,1.78,63,97,110,106.7,108.48
211,45,1.55,115,1.78,63,96,110,105.6,107.38
212,45,1.55,115,1.78,62,94,110,103.4,105.18
213,45,1.55,115,1.78,61,40,110,44,45.78
214,45,1.55,115,1.78,60,0,110,0,1.78
215,45,1.55,115,1.78,59,14,110,15.4,17.18
216,45,1.55,115,1.78,63,72,110,79.2,80.98
217,45,1.55,115,1.78,60,40,110,44,45.78
218,45,1.55,115,1.78,64,94,110,103.4,105.18
219,45,1.55,115,1.78,62,94,110,103.4,105.18
220,45,1.55,115,1.78,63,39,110,42.9,44.68
221,45,1.55,115,1.78,60,7,110,7.7,9.48
222,45,1.55,115,1.78,60,6,110,6.6,8.38
223,45,1.55,115,1.78,64,92,110,101.2,102.98
224,45,1.55,115,1.78,63,94,110,103.4,105.18
225,45,1.55,115,1.78,62,95,110,104.5,106.28
226,45,1.55,115,1.78,63,92,110,101.2,102.98
227,45,1.55,115,1.78,64,94,110,103.4,105.18
228,45,1.55,115,1.78,62,3,110,3.3,5.08
229,45,1.55,115,1.78,62,87,110,95.7,97.48
230,45,1.55,115,1.78,63,93,110,102.3,104.08
231,45,1.55,115,1.78,62,86,110,94.6,96.38
232,45,1.55,115,1.78,63,97,110,106.7,108.48
233,45,1.55,115,1.78,67,93,110,102.3,104.08
234,45,1.55,115,1.78,68,93,110,102.3,104.08
235,45,1.55,115,1.78,68,94,110,103.4,105.18
236,45,1.55,115,1.78,68,94,110,103.4,105.18
237,45,1.55,115,1.78,64,94,110,103.4,105.18
238,45,1.55,115,1.78,64,94,110,103.4,105.18
239,45,1.55,115,1.78,63,96,110,105.6,107.38
240,45,1.55,115,1.78,65,94,110,103.4,105.18
241,45,1.55,115,1.78,65,94,110,103.4,105.18
242,45,1.55,115,1.78,63,94,110,103.4,105.18
243,45,1.55,115,1.78,65,95,110,104.5,106.28
244,45,1.55,115,1.78,63,97,110,106.7,108.48
245,45,1.55,115,1.78,63,94,110,103.4,105.18
246,45,1.55,115,1.78,63,94,110,103.4,105.18
247,45,1.55,115,1.78,64,94,110,103.4,105.18
248,45,1.55,115,1.78,63,96,110,105.6,107.38
249,45,1.55,115,1.78,63,96,110,105.6,107.38
250,45,1.55,115,1.78,63,93,110,102.3,104.08
251,45,1.55,115,1.78,63,94,110,103.4,105.18
252,45,1.55,115,1.78,63,94,110,103.4,105.18
253,45,1.55,115,1.78,64,94,110,103.4,105.18
254,45,1.55,115,1.78,63,96,110,105.6,107.38
255,45,1.55,115,1.78,60,0,110,0,1.78
256,45,1.55,115,1.78,60,0,110,0,1.78
257,45,1.55,115,1.78,61,70,110,77,78.78
258,45,1.55,115,1.78,62,97,110,106.7,108.48
259,45,1.55,115,1.78,60,4,110,4.4,6.18
260,45,1.55,115,1.78,63,97,110,106.7,108.48
261,45,1.55,115,1.78,64,96,110,105.6,107.38
262,45,1.55,115,1.78,62,94,110,103.4,105.18
263,45,1.55,115,1.78,62,95,110,104.5,106.28
264,45,1.55,115,1.78,63,93,110,102.3,104.08
265,45,1.55,115,1.78,62,95,110,104.5,106.28
266,45,1.55,115,1.78,63,92,110,101.2,102.98
267,45,1.55,115,1.78,63,2,110,2.2,3.98
268,45,1.55,115,1.78,63,96,110,105.6,107.38
269,45,1.55,115,1.78,61,96,110,105.6,107.38
270,45,1.55,115,1.78,62,96,110,105.6,107.38
271,45,1.55,115,1.78,63,94,110,103.4,105.18
272,45,1.55,115,1.78,63,94,110,103.4,105.18
273,45,1.55,115,1.78,63,96,110,105.6,107.38
274,45,1.55,115,1.78,62,82,110,90.2,91.98
275,45,1.55,115,1.78,68,93,110,102.3,104.08
276,45,1.55,115,1.78,68,94,110,103.4,105.18
277,45,1.55,115,1.78,69,93,110,102.3,104.08
278,45,1.55,115,1.78,69,94,110,103.4,105.18
279,45,1.55,115,1.78,65,94,110,103.4,105.18
280,45,1.55,115,1.78,64,94,110,103.4,105.18
281,45,1.55,115,1.78,64,93,110,102.3,104.08
282,45,1.55,115,1.78,65,94,110,103.4,105.18
283,45,1.55,115,1.78,64,96,110,105.6,107.38
284,45,1.55,115,1.78,65,96,110,105.6,107.38
285,45,1.55,115,1.78,64,94,110,103.4,105.18
286,45,1.55,115,1.78,64,94,110,103.4,105.18
287,45,1.55,115,1.78,64,94,110,103.4,105.18
288,45,1.55,115,1.78,63,97,110,106.7,108.48
289,45,1.55,115,1.78,65,94,110,103.4,105.18
290,45,1.55,115,1.78,63,96,110,105.6,107.38
291,45,1.55,115,1.78,64,94,110,103.4,105.18
292,45,1.55,115,1.78,64,94,110,103.4,105.18
293,45,1.55,115,1.78,64,94,110,103.4,105.18
294,45,1.55,115,1.78,63,97,110,106.7,108.48
295,45,1.55,115,1.78,64,94,110,103.4,105.18
296,45,1.55,115,1.78,63,89,110,97.9,99.68
297,45,1.55,115,1.78,60,0,110,0,1.78
298,45,1.55,115,1.78,60,16,110,17.6,19.38
299,45,1.55,115,1.78,63,36,110,39.6,41.38
300,45,1.55,115,1.78,62,96,110,105.6,107.38
301,45,1.55,115,1.78,62,59,110,64.9,66.68
302,45,1.55,115,1.78,63,97,110,106.7,108.48
303,45,1.55,115,1.78,63,97,110,106.7,108.48
304,45,1.55,115,1.78,60,76,110,83.6,85.38
305,45,1.55,115,1.78,61,70,110,77,78.78
306,45,1.55,115,1.78,62,94,110,103.4,105.18
307,45,1.55,115,1.78,64,94,110,103.4,105.18
308,45,1.55,115,1.78,63,96,110,105.6,107.38
309,45,1.55,115,1.78,63,96,110,105.6,107.38
310,45,1.55,115,1.78,63,96,110,105.6,107.38
311,45,1.55,115,1.78,60,7,110,7.7,9.48
312,45,1.55,115,1.78,60,10,110,11,12.78
313,45,1.55,115,1.79,62,45,110,49.5,51.29
314,45,1.55,115,1.79,63,54,110,59.4,61.19
315,45,1.55,115,1.79,63,92,110,101.2,102.99
316,45,1.55,115,1.79,66,24,110,26.4,28.19
317,45,1.55,115,1.79,68,93,110,102.3,104.09
318,45,1.55,115,1.79,67,37,110,40.7,42.49
319,45,1.55,115,1.79,68,94,110,103.4,105.19
320,45,1.55,115,1.79,69,94,110,103.4,105.19
321,45,1.55,115,1.79,69,94,110,103.4,105.19
322,45,1.55,115,1.79,70,94,110,103.4,105.19
323,45,1.55,115,1.79,70,94,110,103.4,105.19
324,45,1.55,115,1.79,65,94,110,103.4,105.19
325,45,1.55,115,1.79,66,97,110,106.7,108.49
326,45,1.55,115,1.79,66,96,110,105.6,107.39
327,45,1.55,115,1.79,65,94,110,103.4,105.19
328,45,1.55,115,1.79,64,94,110,103.4,105.19
329,45,1.55,115,1.79,64,97,110,106.7,108.49
330,45,1.55,115,1.79,65,95,110,104.5,106.29
331,45,1.55,115,1.79,64,97,110,106.7,108.49
332,45,1.55,115,1.79,65,94,110,103.4,105.19
333,45,1.55,115,1.79,64,94,110,103.4,105.19
334,45,1.55,115,1.79,64,94,110,103.4,105.19
335,45,1.55,115,1.79,64,96,110,105.6,107.39
336,45,1.55,115,1.79,64,96,110,105.6,107.39
337,45,1.55,115,1.79,64,94,110,103.4,105.19
338,45,1.55,115,1.79,63,94,110,103.4,105.19
339,45,1.55,115,1.79,64,94,110,103.4,105.19
340,45,1.55,115,1.79,63,94,110,103.4,105.19
341,45,1.55,115,1.79,63,97,110,106.7,108.49
342,45,1.55,115,1.79,60,0,110,0,1.79
343,45,1.55,115,1.79,60,16,110,17.6,19.39
344,45,1.55,115,1.79,63,45,110,49.5,51.29
345,45,1.55,115,1.79,63,97,110,106.7,108.49
346,45,1.55,115,1.79,62,97,110,106.7,108.49
347,45,1.55,115,1.79,63,97,110,106.7,108.49
348,45,1.55,115,1.79,64,94,110,103.4,105.19
349,45,1.55,115,1.79,61,17,110,18.7,20.49
350,45,1.55,115,1.79,61,96,110,105.6,107.39
351,45,1.55,115,1.79,63,97,110,106.7,108.49
352,45,1.55,115,1.79,64,94,110,103.4,105.19
353,45,1.55,115,1.79,63,95,110,104.5,106.29
354,45,1.55,115,1.79,63,93,110,102.3,104.09
355,45,1.55,115,1.79,63,93,110,102.3,104.09
356,45,1.55,115,1.79,62,2,110,2.2,3.99
357,45,1.55,115,1.79,63,76,110,83.6,85.39
358,45,1.55,115,1.79,63,93,110,102.3,104.09
359,45,1.55,115,1.79,63,86,110,94.6,96.39
360,45,1.55,115,1.79,64,96,110,105.6,107.39
361,45,1.55,115,1.79,68,93,110,102.3,104.09
362,45,1.55,115,1.79,68,94,110,103.4,105.19
363,45,1.55,115,1.79,69,94,110,103.4,105.19
364,45,1.55,115,1.79,69,94,110,103.4,105.19
365,45,1.55,115,1.79,70,93,110,102.3,104.09
366,45,1.55,115,1.79,70,94,110,103.4,105.19
367,45,1.55,115,1.79,66,97,110,106.7,108.49
368,45,1.55,115,1.79,65,93,110,102.3,104.09
369,45,1.55,115,1.79,65,94,110,103.4,105.19
370,45,1.55,115,1.79,65,94,110,103.4,105.19
371,45,1.55,115,1.79,65,97,110,106.7,108.49
372,45,1.55,115,1.79,64,94,110,103.4,105.19
373,45,1.55,115,1.79,65,94,110,103.4,105.19
374,45,1.55,115,1.79,65,94,110,103.4,105.19
375,45,1.55,115,1.79,64,95,110,104.5,106.29
376,45,1.55,115,1.79,64,97,110,106.7,108.49
377,45,1.55,115,1.79,64,96,110,105.6,107.39
378,45,1.55,115,1.79,64,94,110,103.4,105.19
379,45,1.55,115,1.79,64,94,110,103.4,105.19
380,45,1.55,115,1.79,65,94,110,103.4,105.19
381,45,1.55,115,1.79,64,97,110,106.7,108.49
382,45,1.55,115,1.79,64,94,110,103.4,105.19
383,45,1.55,115,1.79,64,93,110,102.3,104.09
384,45,1.55,115,1.79,64,94,110,103.4,105.19
385,45,1.55,115,1.79,60,0,110,0,1.79
386,45,1.55,115,1.79,60,0,110,0,1.79
387,45,1.55,115,1.79,62,45,110,49.5,51.29
388,45,1.55,115,1.79,63,97,110,106.7,108.49
389,45,1.55,115,1.79,63,28,110,30.8,32.59
390,45,1.55,115,1.79,63,97,110,106.7,108.49
391,45,1.55,115,1.79,64,94,110,103.4,105.19
392,45,1.55,115,1.79,61,96,110,105.6,107.39
393,45,1.55,115,1.79,64,93,110,102.3,104.09
394,45,1.55,115,1.79,62,97,110,106.7,108.49
395,45,1.55,115,1.79,64,92,110,101.2,102.99
396,45,1.55,115,1.79,63,94,110,103.4,105.19
397,45,1.55,115,1.79,62,94,110,103.4,105.19
398,45,1.55,115,1.79,65,95,110,104.5,106.29
399,45,1.55,115,1.79,60,22,110,24.2,25.99
400,45,1.55,115,1.79,61,96,110,105.6,107.39
401,45,1.55,115,1.79,62,40,110,44,45.79
402,45,1.55,115,1.79,61,77,110,84.7,86.49
403,45,1.55,115,1.79,64,92,110,101.2,102.99
404,45,1.55,115,1.79,63,10,110,11,12.79
405,45,1.55,115,1.79,69,93,110,102.3,104.09
406,45,1.55,115,1.79,68,93,110,102.3,104.09
407,45,1.55,115,1.79,69,94,110,103.4,105.19
408,45,1.55,115,1.79,65,97,110,106.7,108.49
409,45,1.55,115,1.79,65,96,110,105.6,107.39
410,45,1.55,115,1.79,64,97,110,106.7,108.49
411,45,1.55,115,1.79,64,93,110,102.3,104.09
412,45,1.55,115,1.79,64,94,110,103.4,105.19
413,45,1.55,115,1.79,64,94,110,103.4,105.19
414,45,1.55,115,1.79,64,97,110,106.7,108.49
415,45,1.55,115,1.79,64,94,110,103.4,105.19
416,45,1.55,115,1.79,64,94,110,103.4,105.19
417,45,1.55,115,1.79,65,94,110,103.4,105.19
418,45,1.55,115,1.79,64,96,110,105.6,107.39
419,45,1.55,115,1.79,63,96,110,105.6,107.39
420,45,1.55,115,1.79,64,97,110,106.7,108.49
