Times,Average Energy (W)
1,83.97
2,88.70016666666668
3,82.33866666666667
4,88.5075
5,84.968
6,84.96216666666668
7,85.09549999999999
8,80.20083333333334
9,85.21033333333334
10,91.23700000000001
11,85.18183333333333
12,85.70316666666666
13,82.01033333333334
14,78.2075
15,83.91566666666667
16,82.44
17,86.83116666666666
18,80.75666666666666
19,81.42166666666667
20,88.762
21,90.80449999999999
22,80.55199999999999
23,85.43783333333333
24,79.28233333333333
25,80.75516666666667
26,88.74583333333334
27,84.01350000000001
28,83.39566666666666
29,85.59033333333333
30,85.73733333333332
