Times,Average Energy (W)
1,65.09
2,66.39166666666667
3,61.405
4,71.32333333333332
5,70.425
6,55.85
7,62.67783333333333
8,66.805
9,73.47833333333332
10,53.348333333333336
11,63.78
12,71.33333333333333
13,69.4195
14,57.591166666666666
15,81.1555
16,58.52833333333333
17,67.2
18,83.14266666666667
19,68.25233333333333
20,65.86166666666666
21,69.03883333333333
22,61.61833333333333
23,70.63833333333334
24,64.05666666666667
25,67.44833333333334
26,63.36
27,64.68
28,63.2375
29,65.02
30,72.51833333333335
