Times,CPU Temperature (°„C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°„C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1575,45,1.49,115,1.71,72,100,110.94,110.94,112.65
1576,45,1.49,115,1.71,72,93,110.94,103.18,104.89
1577,45,1.49,115,1.71,72,94,110.94,104.29,106
1578,45,1.49,115,1.71,72,93,110.94,103.18,104.89
1579,45,1.49,115,1.71,72,93,110.94,103.18,104.89
1580,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1581,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1582,45,1.49,115,1.71,74,94,111.89,105.17,106.88
1583,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1584,45,1.49,115,1.71,73,93,111.41,103.62,105.33
1585,45,1.49,115,1.71,73,95,111.41,105.84,107.55
1586,45,1.49,115,1.71,65,0,110,0,1.71
1587,45,1.49,115,1.71,64,0,110,0,1.71
1588,45,1.49,115,1.71,64,3,110,3.3,5.01
1589,45,1.49,115,1.71,72,94,110.94,104.29,106
1590,45,1.49,115,1.71,72,93,110.94,103.18,104.89
1591,45,1.49,115,1.71,72,93,110.94,103.18,104.89
1592,45,1.49,115,1.71,72,93,110.94,103.18,104.89
1593,45,1.49,115,1.71,72,94,110.94,104.29,106
1594,45,1.49,115,1.71,73,93,111.41,103.62,105.33
1595,45,1.49,115,1.71,73,93,111.41,103.62,105.33
1596,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1597,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1598,45,1.49,115,1.71,73,93,111.41,103.62,105.33
1599,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1600,45,1.49,115,1.71,73,93,111.41,103.62,105.33
1601,45,1.49,115,1.71,73,93,111.41,103.62,105.33
1602,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1603,45,1.49,115,1.71,66,2,110,2.2,3.91
1604,45,1.49,115,1.71,65,0,110,0,1.71
1605,45,1.49,115,1.71,64,12,110,13.2,14.91
1606,45,1.49,115,1.71,71,98,110.47,108.26,109.97
1607,45,1.49,115,1.71,72,93,110.94,103.18,104.89
1608,45,1.49,115,1.71,72,94,110.94,104.29,106
1609,45,1.49,115,1.71,73,93,111.41,103.62,105.33
1610,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1611,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1612,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1613,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1614,45,1.49,115,1.71,73,93,111.41,103.62,105.33
1615,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1616,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1617,45,1.49,115,1.71,74,93,111.89,104.05,105.76
1618,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1619,45,1.49,115,1.71,65,0,110,0,1.71
1620,45,1.49,115,1.71,65,1,110,1.1,2.81
1621,45,1.49,115,1.71,64,0,110,0,1.71
1622,45,1.49,115,1.71,72,94,110.94,104.29,106
1623,45,1.49,115,1.71,73,93,111.41,103.62,105.33
1624,45,1.49,115,1.71,72,94,110.94,104.29,106
1625,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1626,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1627,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1628,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1629,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1630,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1631,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1632,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1633,45,1.49,115,1.71,69,72,110,79.2,80.91
1634,45,1.49,115,1.71,65,0,110,0,1.71
1635,45,1.49,115,1.71,64,1,110,1.1,2.81
1636,45,1.49,115,1.71,65,0,110,0,1.71
1637,45,1.49,115,1.71,73,92,111.41,102.5,104.21
1638,45,1.49,115,1.71,72,94,110.94,104.29,106
1639,45,1.49,115,1.71,72,94,110.94,104.29,106
1640,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1641,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1642,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1643,45,1.49,115,1.71,73,93,111.41,103.62,105.33
1644,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1645,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1646,45,1.49,115,1.71,73,93,111.41,103.62,105.33
1647,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1648,45,1.49,115,1.71,74,94,111.89,105.17,106.88
1649,45,1.49,115,1.71,73,94,111.41,104.73,106.44
1650,45,1.49,115,1.71,66,0,110,0,1.71
1651,45,1.49,115,1.71,65,1,110,1.1,2.81
1652,45,1.49,115,1.71,64,0,110,0,1.71
1653,45,1.49,115,1.71,72,94,110.94,104.29,106
1654,45,1.49,115,1.71,72,92,110.94,102.07,103.78
1655,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1656,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1657,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1658,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1659,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1660,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1661,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1662,45,1.49,115,1.72,66,0,110,0,1.72
1663,45,1.49,115,1.72,65,0,110,0,1.72
1664,45,1.49,115,1.72,64,12,110,13.2,14.92
1665,45,1.49,115,1.72,74,100,111.89,111.89,113.61
1666,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1667,45,1.49,115,1.72,72,94,110.94,104.29,106.01
1668,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1669,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1670,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1671,45,1.49,115,1.72,73,92,111.41,102.5,104.22
1672,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1673,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1674,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1675,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1676,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1677,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1678,45,1.49,115,1.72,65,0,110,0,1.72
1679,45,1.49,115,1.72,64,1,110,1.1,2.82
1680,45,1.49,115,1.72,64,4,110,4.4,6.12
1681,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1682,45,1.49,115,1.72,72,94,110.94,104.29,106.01
1683,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1684,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1685,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1686,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1687,45,1.49,115,1.72,72,94,110.94,104.29,106.01
1688,45,1.49,115,1.72,73,92,111.41,102.5,104.22
