Times,CPU Temperature (°C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1006,27.8,2.37,125,2.97,71,37,351.5,130.06,133.03
1007,27.8,2.37,125,2.97,70,29,350,101.5,104.47
1008,27.8,2.37,125,2.97,69,0,350,0,2.97
1009,27.8,2.37,125,2.97,67,0,350,0,2.97
1010,27.8,2.37,125,2.97,67,0,350,0,2.97
1011,27.8,2.37,125,2.97,67,0,350,0,2.97
1012,27.8,2.37,125,2.97,66,0,350,0,2.97
1013,27.8,2.37,125,2.97,66,0,350,0,2.97
1014,27.8,2.37,125,2.97,66,0,350,0,2.97
1015,27.8,2.37,125,2.97,66,0,350,0,2.97
1016,27.8,2.37,125,2.97,66,0,350,0,2.97
1017,27.8,2.37,125,2.97,65,0,350,0,2.97
1018,27.8,2.37,125,2.97,66,23,350,80.5,83.47
1019,27.8,2.37,125,2.97,70,83,350,290.5,293.47
1020,27.8,2.37,125,2.97,70,77,350,269.5,272.47
1021,27.8,2.37,125,2.97,71,82,351.5,288.23,291.2
1022,27.8,2.37,125,2.97,71,81,351.5,284.71,287.68
1023,27.8,2.37,125,2.97,71,82,351.5,288.23,291.2
1024,27.8,2.37,125,2.97,71,78,351.5,274.17,277.14
1025,27.8,2.37,125,2.97,72,83,353,292.99,295.96
1026,27.8,2.37,125,2.97,72,79,353,278.87,281.84
1027,27.8,2.37,125,2.97,69,0,350,0,2.97
1028,27.8,2.37,125,2.97,69,0,350,0,2.97
1029,27.8,2.37,125,2.97,67,4,350,14,16.97
1030,27.8,2.37,125,2.97,67,6,350,21,23.97
1031,27.8,2.37,125,2.97,69,70,350,245,247.97
1032,27.8,2.37,125,2.97,68,3,350,10.5,13.47
1033,27.8,2.37,125,2.97,68,0,350,0,2.97
1034,27.8,2.37,125,2.97,71,79,351.5,277.69,280.66
1035,27.8,2.37,125,2.97,69,14,350,49,51.97
1036,27.8,2.37,125,2.97,71,77,351.5,270.65,273.62
1037,27.8,2.37,125,2.97,70,0,350,0,2.97
1038,27.8,2.37,125,2.97,71,79,351.5,277.69,280.66
1039,27.8,2.37,125,2.97,69,4,350,14,16.97
1040,27.8,2.37,125,2.97,72,79,353,278.87,281.84
1041,27.8,2.37,125,2.97,69,2,350,7,9.97
1042,27.8,2.37,125,2.97,71,50,351.5,175.75,178.72
1043,27.8,2.37,125,2.97,71,35,351.5,123.03,126
1044,27.8,2.37,125,2.97,70,75,350,262.5,265.47
1045,27.8,2.37,125,2.97,69,0,350,0,2.97
1046,27.8,2.37,125,2.97,67,0,350,0,2.97
1047,27.8,2.37,125,2.97,67,0,350,0,2.97
1048,27.8,2.37,125,2.97,67,0,350,0,2.97
1049,27.8,2.37,125,2.97,66,0,350,0,2.97
1050,27.8,2.37,125,2.97,66,0,350,0,2.97
1051,27.8,2.37,125,2.97,66,0,350,0,2.97
1052,27.8,2.37,125,2.97,66,0,350,0,2.97
1053,27.8,2.37,125,2.97,66,0,350,0,2.97
1054,27.8,2.37,125,2.97,65,0,350,0,2.97
1055,27.8,2.37,125,2.97,69,81,350,283.5,286.47
1056,27.8,2.37,125,2.97,70,78,350,273,275.97
1057,27.8,2.37,125,2.97,70,82,350,287,289.97
1058,27.8,2.37,125,2.97,71,77,351.5,270.65,273.62
1059,27.8,2.37,125,2.97,71,81,351.5,284.71,287.68
1060,27.8,2.37,125,2.97,71,82,351.5,288.23,291.2
1061,27.8,2.37,125,2.97,71,77,351.5,270.65,273.62
1062,27.8,2.37,125,2.97,72,80,353,282.4,285.37
1063,27.8,2.37,125,2.97,72,81,353,285.93,288.9
1064,27.8,2.37,125,2.97,69,21,350,73.5,76.47
1065,27.8,2.37,125,2.97,69,0,350,0,2.97
1066,27.8,2.37,125,2.97,67,10,350,35,37.97
1067,27.8,2.37,125,2.97,67,6,350,21,23.97
1068,27.8,2.37,125,2.97,70,83,350,290.5,293.47
1069,27.8,2.37,125,2.97,68,6,350,21,23.97
1070,27.8,2.37,125,2.97,70,81,350,283.5,286.47
1071,27.8,2.37,125,2.97,71,47,351.5,165.21,168.18
1072,27.8,2.37,125,2.97,68,0,350,0,2.97
1073,27.8,2.37,125,2.97,69,4,350,14,16.97
1074,27.8,2.37,125,2.97,71,80,351.5,281.2,284.17
1075,27.8,2.37,125,2.97,71,79,351.5,277.69,280.66
1076,27.8,2.37,125,2.97,69,0,350,0,2.97
1077,27.8,2.37,125,2.97,72,79,353,278.87,281.84
1078,27.8,2.37,125,2.97,70,4,350,14,16.97
1079,27.8,2.37,125,2.97,70,80,350,280,282.97
1080,27.8,2.37,125,2.97,72,78,353,275.34,278.31
1081,27.8,2.37,125,2.97,69,0,350,0,2.97
1082,27.8,2.37,125,2.97,69,0,350,0,2.97
1083,27.8,2.37,125,2.97,67,0,350,0,2.97
1084,27.8,2.37,125,2.97,67,0,350,0,2.97
1085,27.8,2.37,125,2.97,67,0,350,0,2.97
1086,27.8,2.37,125,2.97,66,0,350,0,2.97
1087,27.8,2.37,125,2.97,66,0,350,0,2.97
1088,27.8,2.37,125,2.97,66,0,350,0,2.97
1089,27.8,2.37,125,2.97,66,0,350,0,2.97
1090,27.8,2.37,125,2.97,66,0,350,0,2.97
1091,27.8,2.37,125,2.97,65,0,350,0,2.97
1092,27.8,2.37,125,2.97,65,0,350,0,2.97
1093,27.8,2.37,125,2.97,65,0,350,0,2.97
