Times,CPU Temperature (°C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1,27.8,2.37,125,2.96,44,3,350,10.5,13.46
2,27.8,2.37,125,2.96,45,27,350,94.5,97.46
3,27.8,2.37,125,2.96,48,8,350,28,30.96
4,27.8,2.37,125,2.96,51,74,350,259,261.96
5,27.8,2.37,125,2.96,52,95,350,332.5,335.46
6,27.8,2.37,125,2.96,53,95,350,332.5,335.46
7,27.8,2.37,125,2.96,53,70,350,245,247.96
8,27.8,2.37,125,2.96,52,17,350,59.5,62.46
9,27.8,2.37,125,2.96,50,0,350,0,2.96
10,27.8,2.37,125,2.96,49,0,350,0,2.96
11,27.8,2.37,125,2.96,49,0,350,0,2.96
12,27.8,2.37,125,2.96,49,0,350,0,2.96
13,27.8,2.37,125,2.96,49,0,350,0,2.96
14,27.8,2.37,125,2.96,50,0,350,0,2.96
15,27.8,2.37,125,2.96,54,71,350,248.5,251.46
16,27.8,2.37,125,2.96,55,94,350,329,331.96
17,27.8,2.37,125,2.96,56,95,350,332.5,335.46
18,27.8,2.37,125,2.96,56,72,350,252,254.96
19,27.8,2.37,125,2.96,56,71,350,248.5,251.46
20,27.8,2.37,125,2.96,57,70,350,245,247.96
21,27.8,2.37,125,2.96,55,22,350,77,79.96
22,27.8,2.37,125,2.96,57,71,350,248.5,251.46
23,27.8,2.37,125,2.96,58,95,350,332.5,335.46
24,27.8,2.37,125,2.96,58,95,350,332.5,335.46
25,27.8,2.37,125,2.96,58,69,350,241.5,244.46
26,27.8,2.37,125,2.96,58,68,350,238,240.96
27,27.8,2.37,125,2.96,59,70,350,245,247.96
28,27.8,2.37,125,2.96,57,22,350,77,79.96
29,27.8,2.37,125,2.96,59,66,350,231,233.96
30,27.8,2.37,125,2.96,57,0,350,0,2.96
31,27.8,2.37,125,2.96,59,70,350,245,247.96
32,27.8,2.37,125,2.96,57,29,350,101.5,104.46
33,27.8,2.37,125,2.96,58,47,350,164.5,167.46
34,27.8,2.37,125,2.96,60,68,350,238,240.96
35,27.8,2.37,125,2.96,58,0,350,0,2.96
36,27.8,2.37,125,2.96,59,69,350,241.5,244.46
37,27.8,2.37,125,2.96,60,69,350,241.5,244.46
38,27.8,2.37,125,2.96,61,68,350,238,240.96
39,27.8,2.37,125,2.96,59,32,350,112,114.96
40,27.8,2.37,125,2.96,58,0,350,0,2.96
41,27.8,2.37,125,2.96,57,0,350,0,2.96
42,27.8,2.37,125,2.96,57,0,350,0,2.96
43,27.8,2.37,125,2.96,56,0,350,0,2.96
44,27.8,2.37,125,2.96,56,0,350,0,2.96
45,27.8,2.37,125,2.96,57,9,350,31.5,34.46
46,27.8,2.37,125,2.96,61,95,350,332.5,335.46
47,27.8,2.37,125,2.96,61,78,350,273,275.96
48,27.8,2.37,125,2.96,61,70,350,245,247.96
49,27.8,2.37,125,2.96,62,69,350,241.5,244.46
50,27.8,2.37,125,2.96,60,5,350,17.5,20.46
51,27.8,2.37,125,2.96,59,0,350,0,2.96
52,27.8,2.37,125,2.96,58,0,350,0,2.96
53,27.8,2.37,125,2.96,58,0,350,0,2.96
54,27.8,2.37,125,2.96,57,0,350,0,2.96
55,27.8,2.37,125,2.96,57,0,350,0,2.96
56,27.8,2.37,125,2.96,58,0,350,0,2.96
57,27.8,2.37,125,2.96,61,69,350,241.5,244.46
58,27.8,2.37,125,2.96,62,94,350,329,331.96
59,27.8,2.37,125,2.96,63,95,350,332.5,335.46
60,27.8,2.37,125,2.96,63,95,350,332.5,335.46
61,27.8,2.37,125,2.96,64,94,350,329,331.96
62,27.8,2.37,125,2.96,64,66,350,231,233.96
63,27.8,2.37,125,2.96,62,60,350,210,212.96
64,27.8,2.37,125,2.96,61,0,350,0,2.96
65,27.8,2.37,125,2.96,60,0,350,0,2.96
66,27.8,2.37,125,2.96,59,0,350,0,2.96
67,27.8,2.37,125,2.96,59,0,350,0,2.96
68,27.8,2.37,125,2.96,59,0,350,0,2.96
69,27.8,2.37,125,2.96,60,0,350,0,2.96
70,27.8,2.37,125,2.96,62,67,350,234.5,237.46
71,27.8,2.37,125,2.96,63,67,350,234.5,237.46
72,27.8,2.37,125,2.96,60,0,350,0,2.96
73,27.8,2.37,125,2.96,60,0,350,0,2.96
74,27.8,2.37,125,2.96,59,0,350,0,2.96
75,27.8,2.37,125,2.96,59,0,350,0,2.96
